ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,Barranco,3,PEN,4,2850,2400,2400,3300,74.25,33.33,4,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Barrio Medico,1,PEN,2,2100,1900,1900,2300,40.5,51.11,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Barrio Medico,2,PEN,2,2325,2300,2300,2350,54.5,39.17,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Breña,1,PEN,1,1200,1200,1200,1200,40,30,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Breña,2,PEN,8,1712.5,1600,1400,2300,66.13,22.86,8,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Breña,3,PEN,3,1900,1900,1800,2000,81.67,21.18,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Bujama,3,PEN,1,1300,1300,1300,1300,56,23.21,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Calera,2,PEN,1,3400,3400,3400,3400,100,34,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Callao,1,PEN,1,1100,1100,1100,1100,77,14.29,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Callao,2,PEN,2,1550,1500,1500,1600,59,22.39,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Callao,3,PEN,2,1950,1400,1400,2500,67.5,22.58,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Camacho,2,PEN,1,2600,2600,2600,2600,85,30.59,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Carabayllo,2,PEN,1,550,550,550,550,50,11,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Carabayllo,3,PEN,3,1466.67,1600,1000,1800,121.67,11.03,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chacarilla Del Estanque,1,PEN,1,2800,2800,2800,2800,100,28,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chacarilla Del Estanque,2,PEN,1,2800,2800,2800,2800,90,31.11,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chacarilla Santa Cruz,1,PEN,1,3500,3500,3500,3500,50,70,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chama,3,PEN,2,2895,2300,2300,3490,109.5,26.24,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chancas De Andahuaylas,3,PEN,1,1700,1700,1700,1700,80,21.25,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chorrillos,1,PEN,4,1600,1200,900,2500,44.75,34.29,4,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chorrillos,2,PEN,4,1622.5,1600,1350,1890,66.5,22.5,4,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chorrillos,3,PEN,8,2162.38,2000,1599,3000,86.88,25.21,8,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Chosica (lurigancho),3,PEN,1,1600,1600,1600,1600,89,17.98,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Colmenares,3,PEN,2,2545,2300,2300,2790,95,24.26,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Comas,1,PEN,1,1500,1500,1500,1500,37,40.54,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Comas,2,PEN,1,2500,2500,2500,2500,84,29.76,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Comas,3,PEN,8,1106.13,1000,800,1700,67.25,18.18,8,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Condado Real,4,PEN,1,2200,2200,2200,2200,110,20,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Confraternidad,1,PEN,1,2380,2380,2380,2380,50,47.6,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Corpac,1,PEN,1,2600,2600,2600,2600,45,57.78,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Corpac,2,PEN,2,3000,2300,2300,3700,68.5,33.82,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Corpac,3,PEN,1,4650,4650,4650,4650,151,30.79,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Costa Sur,1,PEN,1,1900,1900,1900,1900,40,47.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Country Club,2,PEN,1,3000,3000,3000,3000,62,48.39,1,0,0,null,2026-07-14T01:25:15.299954Z
